Channel	created at	Product	Issue	Sub Type	Handled
Webapp	2026-03-03				Bot
Inapp	2026-03-03				Bot
Inapp	2026-03-03				Bot
Inapp	2026-03-03	PM	Not Charging		Human
Webapp	2026-03-03				Bot
Webapp	2026-03-03				Bot
Inapp	2026-03-03	PM	Not Charging		Human
Webapp	2026-03-03	PM	Presales	Price inquiry	Human
Inapp	2026-03-03				Bot
Inapp	2026-03-03				Bot
Inapp	2026-03-03				Bot
Webapp	2026-03-03				Bot
Inapp	2026-03-03				Bot
Webapp	2026-03-03				Bot
Inapp	2026-03-03	PM	Subs Cancellation		Human
Inapp	2026-03-03				Bot
Inapp	2026-03-03				Bot
Webapp	2026-03-03				Bot
Inapp	2026-03-03				Bot
Webapp	2026-03-03	4G Camera	Presales	Functionalities	Human
Webapp	2026-03-03				Bot
Webapp	2026-03-03				Bot
Inapp	2026-03-03	RV Mini Cam	App Navigation	Unable to find	Human
Inapp	2026-03-03				Bot
Webapp	2026-03-03				Bot
Inapp	2026-03-03				Bot
Webapp	2026-03-03	RV Mini Cam	App Navigation	Joystick Control	Human
Inapp	2026-03-03	Waggle Cam Pro	App Navigation	Joystick Control	Human
Webapp	2026-03-03	PM	Upgrade		Human
Webapp	2026-03-03				Bot
Inapp	2026-03-03	Waggle Cam Pro	Not Turning On		Human
Webapp	2026-03-03				Bot
Webapp	2026-03-03				Bot
Inapp	2026-03-03	4g Mini	App Navigation	Joystick Control	Human
Inapp	2026-03-03	4g Mini	App Navigation	Joystick Control	Human
Inapp	2026-03-03	Waggle Cam Pro	App Navigation	Joystick Control	Human
Inapp	2026-03-03	4g Mini	App Navigation	Joystick Control	Human
Inapp	2026-03-03	Waggle Cam Pro	Treat Toss		Human
Webapp	2026-03-03				Bot
Webapp	2026-03-04				Bot
Webapp	2026-03-04				Bot
Inapp	2026-03-04	Waggle Cam Pro	App Navigation	Joystick Control	Human
Inapp	2026-03-04				Bot
Inapp	2026-03-04	Waggle Cam Pro	App Navigation	Joystick Control	Human
Webapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Inapp	2026-03-04	PM	DNR		Human
Webapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Webapp	2026-03-04				Bot
Webapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Webapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Webapp	2026-03-04				Bot
Webapp	2026-03-04				Bot
Webapp	2026-03-04	PM	Subs Activation		Human
Webapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Webapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Webapp	2026-03-04	Waggle Cam Pro	Replacment		Human
Webapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Webapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Webapp	2026-03-04				Bot
Webapp	2026-03-04				Bot
Inapp	2026-03-04				Bot
Webapp	2026-03-05				Bot
Inapp	2026-03-05	4g Mini	App Navigation	Joystick Control	Human
Inapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Webapp	2026-03-05	PM	Presales	Subs Inquiry	Human
Inapp	2026-03-05				Bot
Webapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Inapp	2026-03-05	PM	App Navigation	Geo Fence	Human
Webapp	2026-03-05				Bot
Webapp	2026-03-05	PM	Charging Query	Charging LED Query	Human
Inapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Inapp	2026-03-05	4g Mini	App Navigation	PW reset	Human
Webapp	2026-03-05				Bot
Webapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Inapp	2026-03-05	PM	App Navigation	Temp threshold	Human
Webapp	2026-03-05	4g Mini	App Issue	Unable to activate	Human
Webapp	2026-03-05	4g Mini	Subs Mapping		Human
Inapp	2026-03-05	4g Mini	Subs Activation	Combo plan	Human
Inapp	2026-03-05	PM	Subs Cancellation		Human
Inapp	2026-03-05	PM	DNR		Human
Inapp	2026-03-05				Bot
Inapp	2026-03-05	PM	App Navigation	Geo Fence	Human
Inapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Webapp	2026-03-05				Bot
Inapp	2026-03-05	PM	DNR		Human
Inapp	2026-03-05	PM	DNR		Human
Webapp	2026-03-05				Bot
Inapp	2026-03-05				Bot
Inapp	2026-03-05	RV Mini Cam	Connection		Human
Inapp	2026-03-05				Bot
