Channel	Created at	Product	Issue	Type	Handled
Scooby(Mobile)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01	Waggel Cam Pro	Set Up		Human
Scooby(Mobile)	2026-01-01	RV Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01	PM	Temp Issue		Human
Waggle Assist(Web)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01	PM	GPS Issue		Human
Scooby(Mobile)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01				Bot
Waggle Assist(Web)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01	RV Mini Cam	Tech Query 		Human
Waggle Assist(Web)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01				Bot
Waggle Assist(Web)	2026-01-01	RV Mini Cam	Presales		Human
Scooby(Mobile)	2026-01-01	4g Mini Cam	Subscription Activation		Human
Waggle Assist(Web)	2026-01-01				Bot
Waggle Assist(Web)	2026-01-01				Bot
Waggle Assist(Web)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01				Bot
Scooby(Mobile)	2026-01-01				Bot
Scooby(Mobile)	2026-01-02				Bot
Scooby(Mobile)	2026-01-02	PM	DNR		Human
Waggle Assist(Web)	2026-01-02				Bot
Scooby(Mobile)	2026-01-02				Bot
Scooby(Mobile)	2026-01-02				Bot
Waggle Assist(Web)	2026-01-02				Bot
Scooby(Mobile)	2026-01-02	PM	Subscription Cancellaiton		Human
Scooby(Mobile)	2026-01-02				Bot
Waggle Assist(Web)	2026-01-02	4g Mini Cam	Subscription Activation		Human
Waggle Assist(Web)	2026-01-02	PM	Subscription Cancellaiton		Human
Waggle Assist(Web)	2026-01-02				Bot
Waggle Assist(Web)	2026-01-02				Bot
Scooby(Mobile)	2026-01-02	PM	DNR		Human
Scooby(Mobile)	2026-01-02	4g Mini Cam	Subscription Activation - Combo		Human
Waggle Assist(Web)	2026-01-02				Bot
Waggle Assist(Web)	2026-01-02	4g Mini Cam	App Navigation		Human
Waggle Assist(Web)	2026-01-02				Bot
Scooby(Mobile)	2026-01-02				Bot
Scooby(Mobile)	2026-01-02	4g Mini Cam	App Navigation		Human
Scooby(Mobile)	2026-01-02	4g Mini Cam	Sound Detection		Human
Scooby(Mobile)	2026-01-02				Bot
Scooby(Mobile)	2026-01-02	PM	Tech Query 		Human
Scooby(Mobile)	2026-01-02				Bot
Scooby(Mobile)	2026-01-02	4g Mini Cam	Subscription Activation - Combo		Human
Scooby(Mobile)	2026-01-02	PM	Turning On		Human
Scooby(Mobile)	2026-01-02				Bot
Scooby(Mobile)	2026-01-02				Bot
Scooby(Mobile)	2026-01-03				Bot
Waggle Assist(Web)	2026-01-03	PM	DNR		Human
Scooby(Mobile)	2026-01-03	PM	DNR		Human
Scooby(Mobile)	2026-01-03	PM	App Navigation		Human
Scooby(Mobile)	2026-01-03	PM	Order Status		Human
Scooby(Mobile)	2026-01-03				Bot
Scooby(Mobile)	2026-01-03				Bot
Waggle Assist(Web)	2026-01-03	PM	False Power Loss		Human
Scooby(Mobile)	2026-01-03				Bot
Waggle Assist(Web)	2026-01-03	PM	DNR		Human
Scooby(Mobile)	2026-01-03	PM	Temp Issue		Human
Scooby(Mobile)	2026-01-03				Bot
Scooby(Mobile)	2026-01-03				Bot
Waggle Assist(Web)	2026-01-03	4g Mini Cam	Set Up		Human
Scooby(Mobile)	2026-01-03				Bot
Scooby(Mobile)	2026-01-03				Bot
Scooby(Mobile)	2026-01-03				Bot
Scooby(Mobile)	2026-01-03				Bot
Scooby(Mobile)	2026-01-03				Bot
Waggle Assist(Web)	2026-01-03				Bot
Waggle Assist(Web)	2026-01-03	PM	Login Issue		Human
Waggle Assist(Web)	2026-01-03				Bot
Waggle Assist(Web)	2026-01-03	PM	Subscription Activation		Human
Scooby(Mobile)	2026-01-03				Bot
Waggle Assist(Web)	2026-01-03				Bot
Scooby(Mobile)	2026-01-03				Bot
Waggle Assist(Web)	2026-01-03				Bot
Scooby(Mobile)	2026-01-03				Bot
Scooby(Mobile)	2026-01-03				Bot
Waggle Assist(Web)	2026-01-03				Bot
Scooby(Mobile)	2026-01-03	PM	False Power Loss		Human
Scooby(Mobile)	2026-01-03	PM	Presales		Human
Scooby(Mobile)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04				Bot
Waggle Assist(Web)	2026-01-04	PM	Accessories		Human
Scooby(Mobile)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04				Bot
Waggle Assist(Web)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04				Bot
Waggle Assist(Web)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04				Bot
Waggle Assist(Web)	2026-01-04	PM	Pause Subcription		Human
Scooby(Mobile)	2026-01-04				Bot
Scooby(Mobile)	2026-01-04	PM	Accessories		Human
Scooby(Mobile)	2026-01-05				Bot
Waggle Assist(Web)	2026-01-05				Bot
Scooby(Mobile)	2026-01-05	PM	Subscription Activation		Human
Scooby(Mobile)	2026-01-05	RV Mini Cam	Connection		Human
Waggle Assist(Web)	2026-01-05	PM	Accessories		Human
Scooby(Mobile)	2026-01-05	PM	GPS Issue		Human
Scooby(Mobile)	2026-01-05				Bot
Scooby(Mobile)	2026-01-05				Bot
Scooby(Mobile)	2026-01-05				Bot
Scooby(Mobile)	2026-01-05	4g Mini Cam	Motion alerts		Human
Scooby(Mobile)	2026-01-05	4g camera	Accessories		Human
Waggle Assist(Web)	2026-01-05	4g Mini Cam	Accessories		Human
Waggle Assist(Web)	2026-01-05				Bot
Waggle Assist(Web)	2026-01-05	4g Mini Cam	Presales		Human
Scooby(Mobile)	2026-01-05				Bot
Scooby(Mobile)	2026-01-05				Bot
Waggle Assist(Web)	2026-01-05				Bot
Scooby(Mobile)	2026-01-05				Bot
Waggle Assist(Web)	2026-01-05				Bot
Scooby(Mobile)	2026-01-05				Bot
Waggle Assist(Web)	2026-01-05				Bot
Scooby(Mobile)	2026-01-05				Bot
Scooby(Mobile)	2026-01-05	Waggle Cam Pro	Registration Issue		Human
Scooby(Mobile)	2026-01-05	RV Mini Cam	Subscription Activation		Human
Scooby(Mobile)	2026-01-05				Bot
Scooby(Mobile)	2026-01-05	PM	Battery Issue		Human
Waggle Assist(Web)	2026-01-06				Bot
Waggle Assist(Web)	2026-01-06				Bot
Waggle Assist(Web)	2026-01-06				Bot
Scooby(Mobile)	2026-01-06				Bot
Waggle Assist(Web)	2026-01-06				Bot
Scooby(Mobile)	2026-01-06				Bot
Scooby(Mobile)	2026-01-06	4g Mini Cam	Sound Detection		Human
Scooby(Mobile)	2026-01-06				Bot
Scooby(Mobile)	2026-01-06				Bot
Scooby(Mobile)	2026-01-06	4g Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-06	PM	DNR		Human
Waggle Assist(Web)	2026-01-06				Bot
Scooby(Mobile)	2026-01-06	4g Mini Cam	Subscription Activation - Combo		Human
Scooby(Mobile)	2026-01-06				Bot
Scooby(Mobile)	2026-01-06				Bot
Waggle Assist(Web)	2026-01-06				Bot
Waggle Assist(Web)	2026-01-06				Bot
Waggle Assist(Web)	2026-01-06	Vet Chat	Query		Human
Waggle Assist(Web)	2026-01-06				Bot
Waggle Assist(Web)	2026-01-06				Bot
Scooby(Mobile)	2026-01-06				Bot
Waggle Assist(Web)	2026-01-06				Bot
Scooby(Mobile)	2026-01-06				Bot
Scooby(Mobile)	2026-01-06				Bot
Waggle Assist(Web)	2026-01-06				Bot
Waggle Assist(Web)	2026-01-06	4g camera	Subscription query		Human
Scooby(Mobile)	2026-01-06	NA	No Reason		Human
Scooby(Mobile)	2026-01-06	RV Mini Cam	Subscription Activation		Human
Waggle Assist(Web)	2026-01-06	PM	Accessories		Human
Waggle Assist(Web)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07	PM	DNR		Human
Waggle Assist(Web)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07				Bot
Waggle Assist(Web)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07				Bot
Waggle Assist(Web)	2026-01-07	PM	DNR		Human
Waggle Assist(Web)	2026-01-07	4g camera	Presales		Human
Waggle Assist(Web)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07	PM	Login Issue		Human
Waggle Assist(Web)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07	4g Mini Cam	Subscription Activation		Human
Scooby(Mobile)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07	Waggle Cam Pro	Login Issue		Human
Waggle Assist(Web)	2026-01-07	Waggle Cam Pro	Login Issue		Human
Scooby(Mobile)	2026-01-07	Waggle Cam Pro	Presales		Human
Waggle Assist(Web)	2026-01-07	4g Mini Cam	Motion alerts		Human
Scooby(Mobile)	2026-01-07				Bot
Waggle Assist(Web)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07				Bot
Scooby(Mobile)	2026-01-07	PM	DNR		Human
Scooby(Mobile)	2026-01-07	PM	Subscription Cancellaiton		Human
Waggle Assist(Web)	2026-01-07	PM	Presales		Human
Scooby(Mobile)	2026-01-08	PM	GPS Issue		Human
Scooby(Mobile)	2026-01-08				Bot
Waggle Assist(Web)	2026-01-08				Bot
Scooby(Mobile)	2026-01-08	Waggle Cam Pro	Presales		Human
Waggle Assist(Web)	2026-01-08	4g Mini Cam	Subscription query		Human
Waggle Assist(Web)	2026-01-08	PM	DNR		Human
Scooby(Mobile)	2026-01-08	RV Mini Cam	Subscription Cancellaiton		Human
Waggle Assist(Web)	2026-01-08				Bot
Waggle Assist(Web)	2026-01-08				Bot
Scooby(Mobile)	2026-01-08				Bot
Waggle Assist(Web)	2026-01-08	NA	No Reason		Human
Waggle Assist(Web)	2026-01-08				Bot
Scooby(Mobile)	2026-01-08	Waggle Cam Pro	Connection		Human
Waggle Assist(Web)	2026-01-08	PM	Login Issue		Human
Waggle Assist(Web)	2026-01-08				Bot
Scooby(Mobile)	2026-01-08				Bot
Scooby(Mobile)	2026-01-08				Bot
Waggle Assist(Web)	2026-01-08				Bot
Waggle Assist(Web)	2026-01-08				Bot
Waggle Assist(Web)	2026-01-08	4g Mini Cam	Login Issue		Human
Scooby(Mobile)	2026-01-08				Bot
Scooby(Mobile)	2026-01-08	PM	DNR		Human
Scooby(Mobile)	2026-01-08	RV Mini Cam	Motion alerts		Human
Scooby(Mobile)	2026-01-08	RV Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-08				Bot
Scooby(Mobile)	2026-01-08				Bot
Scooby(Mobile)	2026-01-08				Bot
Scooby(Mobile)	2026-01-08				Bot
Waggle Assist(Web)	2026-01-08	4g Mini Cam	Subscription Activation		Human
Waggle Assist(Web)	2026-01-08	4g Mini Cam	Connection		Human
Waggle Assist(Web)	2026-01-09				Bot
Scooby(Mobile)	2026-01-09				Bot
Scooby(Mobile)	2026-01-09				Bot
Waggle Assist(Web)	2026-01-09				Bot
Scooby(Mobile)	2026-01-09				Bot
Waggle Assist(Web)	2026-01-09				Bot
Waggle Assist(Web)	2026-01-09	4g camera	Subscription query		Human
Scooby(Mobile)	2026-01-09	PM	App Navigation		Human
Waggle Assist(Web)	2026-01-09				Bot
Scooby(Mobile)	2026-01-09	PM	DNR		Human
Waggle Assist(Web)	2026-01-09				Bot
Scooby(Mobile)	2026-01-09				Bot
Scooby(Mobile)	2026-01-09	PM	Tech Query 		Human
Scooby(Mobile)	2026-01-09				Bot
Scooby(Mobile)	2026-01-09	4g Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-09	PM	Power Recovery Not Sent		Human
Scooby(Mobile)	2026-01-09				Bot
Scooby(Mobile)	2026-01-09				Bot
Scooby(Mobile)	2026-01-09				Bot
Waggle Assist(Web)	2026-01-09				Bot
Scooby(Mobile)	2026-01-09				Bot
Scooby(Mobile)	2026-01-09				Bot
Waggle Assist(Web)	2026-01-09	PM	Login Issue		Human
Scooby(Mobile)	2026-01-09	PM	Return & refund		Human
Waggle Assist(Web)	2026-01-09	4g Mini Cam	Subscription Activation - Combo		Human
Scooby(Mobile)	2026-01-09	PM	Login Issue		Human
Scooby(Mobile)	2026-01-09				Bot
Waggle Assist(Web)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Waggle Assist(Web)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10	RV Mini Cam	Set Up		Human
Waggle Assist(Web)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10	RV Mini Cam	Connection		Human
Waggle Assist(Web)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Waggle Assist(Web)	2026-01-10				Bot
Waggle Assist(Web)	2026-01-10	PM	DNR		Human
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Waggle Assist(Web)	2026-01-10				Bot
Waggle Assist(Web)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10	RV Mini Cam	Accessories		Human
Waggle Assist(Web)	2026-01-10	PM	Presales		Human
Scooby(Mobile)	2026-01-10	Waggle Cam Pro	Treat Tosser Issue		Human
Scooby(Mobile)	2026-01-10				Bot
Waggle Assist(Web)	2026-01-10				Bot
Waggle Assist(Web)	2026-01-10	4g Mini Cam	Presales		Human
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10	PM	DNR		Human
Waggle Assist(Web)	2026-01-10	PM	False Power Loss		Human
Scooby(Mobile)	2026-01-10	PM	DNR		Human
Scooby(Mobile)	2026-01-10				Bot
Waggle Assist(Web)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Scooby(Mobile)	2026-01-10				Bot
Waggle Assist(Web)	2026-01-10	PM	Humidity Issue		Human
Scooby(Mobile)	2026-01-10	PM	Charging Issue		Human
Waggle Assist(Web)	2026-01-10	PM	Tech Query 		Human
Scooby(Mobile)	2026-01-10				Bot
Waggle Assist(Web)	2026-01-11				Bot
Scooby(Mobile)	2026-01-11				Bot
Waggle Assist(Web)	2026-01-11				Bot
