Channel	created at	Product	Issue	Sub Type	Handled
Webapp	2026-03-09				Bot
Inapp	2026-03-09	PM	Temp Difference		Human
Webapp	2026-03-09				Bot
Webapp	2026-03-09	PM	Presales	Network Carrier	Human
Inapp	2026-03-09	Waggel Insurance	NA	NA	Human
Webapp	2026-03-09				Bot
Inapp	2026-03-09	PM	Device Query	Display related	Human
Inapp	2026-03-09				Bot
Webapp	2026-03-09				Bot
Webapp	2026-03-09				Bot
Webapp	2026-03-09				Bot
Inapp	2026-03-09				Bot
Webapp	2026-03-09				Bot
Inapp	2026-03-09				Bot
Webapp	2026-03-09				Bot
Inapp	2026-03-09				Bot
Webapp	2026-03-09				Bot
Inapp	2026-03-09	4g Mini	App Navigation	Rotation	Human
Inapp	2026-03-09				Bot
Inapp	2026-03-09				Bot
Inapp	2026-03-09				Bot
Inapp	2026-03-09				Bot
Inapp	2026-03-09				Bot
Webapp	2026-03-09	4G Camera	App Navigation	Delete History	Human
Inapp	2026-03-09				Bot
Inapp	2026-03-09				Bot
Inapp	2026-03-09				Bot
Webapp	2026-03-09				Bot
Inapp	2026-03-09	4G Camera	App Navigation	Motion Alert Turn Off	Human
Inapp	2026-03-09				Bot
Inapp	2026-03-09	PM	Device Transfer		Human
Webapp	2026-03-09	PM	Subs Activation	Subs Inquiry	Human
Inapp	2026-03-09				Bot
Inapp	2026-03-09				Bot
Webapp	2026-03-09	NA	NA	NA	Human
Webapp	2026-03-09				Bot
Webapp	2026-03-09	PM	Presales		Human
Inapp	2026-03-09				Bot
Webapp	2026-03-09	PM	Order Related	OOS	Human
Inapp	2026-03-09				Bot
Inapp	2026-03-09				Bot
Inapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Inapp	2026-03-10	PM	Device Transfer		Human
Webapp	2026-03-10				Bot
Inapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Inapp	2026-03-10				Bot
Inapp	2026-03-10				Bot
Inapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Inapp	2026-03-10	4G Camera	Solar Panel		Human
Webapp	2026-03-10				Bot
Webapp	2026-03-10	PM	Upgrade		Human
Inapp	2026-03-10	4g Mini	App Navigation	Battery Level	Human
Inapp	2026-03-10	Waggel Insurance	NA	NA	Human
Webapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Inapp	2026-03-10	PM	multi-user-access		Human
Inapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Inapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Inapp	2026-03-10				Bot
Inapp	2026-03-10	4g Mini	Subs Mapping		Human
Inapp	2026-03-10				Bot
Inapp	2026-03-10	4g Mini	Subs Activation	Additional devices	Human
Inapp	2026-03-10	RV Mini Cam	App Navigation	Delete Video	Human
Inapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Inapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Inapp	2026-03-10	RV Mini Cam	Subs Activation	Price inquiry	Human
Webapp	2026-03-10	PM	Replacment		Human
Inapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Webapp	2026-03-10				Bot
Inapp	2026-03-10				Bot
Inapp	2026-03-10	PM	DNR		Human
Inapp	2026-03-10				Bot
Inapp	2026-03-10				Bot
Inapp	2026-03-10				Bot
Inapp	2026-03-10	PM	Warranty	Activation	Human
Inapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Webapp	2026-03-11	4g Mini	App Navigation	Settings Icon	Human
Webapp	2026-03-11	RV Mini Cam	Presales	Offers Related	Human
Inapp	2026-03-11				Bot
Inapp	2026-03-11	4g Mini	Subs Activation	Combo plan	Human
Webapp	2026-03-11	PM	Return and Refund		Human
Inapp	2026-03-11				Bot
Webapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Inapp	2026-03-11	PM	DNR		Human
Inapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Webapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Webapp	2026-03-11				Bot
Inapp	2026-03-11	PM	App Navigation	Subs Related	Human
Inapp	2026-03-11				Bot
Webapp	2026-03-11	RV Mini Cam	Presales	Functionalities	Human
Inapp	2026-03-11	4g Mini	App Navigation	Battery Level	Human
Inapp	2026-03-11	4g Mini	SIM out of Service		Human
Webapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Webapp	2026-03-11				Bot
Webapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Inapp	2026-03-11	4g Mini	App Navigation	Battery Level	Human
Webapp	2026-03-11				Bot
Inapp	2026-03-11	RV Mini Cam	Connection		Human
Inapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Webapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Inapp	2026-03-11	4g Mini	Connection		Human
Inapp	2026-03-11				Bot
Inapp	2026-03-11				Bot
Inapp	2026-03-11	PM	Registration	QR Code	Human
Webapp	2026-03-11				Bot
Webapp	2026-03-11				Bot
Inapp	2026-03-11	PM	Subs Cancellation		Human
Inapp	2026-03-12	PM	Device Query	Reporting Interval	Human
Inapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Inapp	2026-03-12	RV Mini Cam	App Navigation	Pan Option	Human
Webapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Inapp	2026-03-12	RV Mini Cam	Connection		Human
Inapp	2026-03-12	PM	App Navigation	Battery Level	Human
Inapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Inapp	2026-03-12	4G Camera	Login Related		Human
Inapp	2026-03-12	4G Camera	Device Query	Functionalities	Human
Webapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Inapp	2026-03-12				Bot
Webapp	2026-03-12				Bot
Webapp	2026-03-13				Bot
Webapp	2026-03-13				Bot
Webapp	2026-03-13				Bot
Webapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Webapp	2026-03-13				Bot
Webapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Webapp	2026-03-13				Bot
Webapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Webapp	2026-03-13				Bot
Webapp	2026-03-13				Bot
Webapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Webapp	2026-03-13	PM	Order Related		Human
Inapp	2026-03-13	PM	Email ID Change		Human
Inapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Inapp	2026-03-13	4g Mini	Trial Plan Query		Human
Inapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Inapp	2026-03-13	PM	Not Turning On		Human
Inapp	2026-03-13	4g Mini	Time Format Query		Human
Inapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Webapp	2026-03-13				Bot
Inapp	2026-03-13	PM	Coverage area (Mexico)		Human
Webapp	2026-03-13				Bot
Inapp	2026-03-13				Bot
Inapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Inapp	2026-03-14	PM	Subs Activation	Price inquiry	Human
Webapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Webapp	2026-03-14	PM	Order Related	Shipping Delay	Human
Webapp	2026-03-14	General	App Download		Human
Inapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Webapp	2026-03-14	4g Mini	Subs Activation	Price inquiry	Human
Webapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Inapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Inapp	2026-03-14	4g Mini	Device Removal	Sold	Human
Inapp	2026-03-14	PM	DNR		Human
Inapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Inapp	2026-03-14	4g Mini	App Navigation	Motion Detection	Human
Inapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Webapp	2026-03-14				Bot
Inapp	2026-03-15				Bot
Webapp	2026-03-15	PM	DNR		Human
Webapp	2026-03-15	PM	Temp Difference	Old Device	Human
Webapp	2026-03-15				Bot
Webapp	2026-03-15	4g Mini	App Navigation	Joystick Control	Human
Inapp	2026-03-15				Bot
Webapp	2026-03-15				Bot
Inapp	2026-03-15	Waggle Cam Pro	App Navigation	Privacy Settings	Human
Inapp	2026-03-15	4g Mini	Subs Activation	Price inquiry	Human
Inapp	2026-03-15				Bot
Webapp	2026-03-15	PM	Subs Activation	Discount Request	Human
Webapp	2026-03-15				Bot
Inapp	2026-03-15				Bot
Inapp	2026-03-15	PM	DNR		Human
Inapp	2026-03-15				Bot
Inapp	2026-03-15	RV Mini Cam	App Navigation	Erase Videos	Human
Inapp	2026-03-15				Bot
Inapp	2026-03-15				Bot
Inapp	2026-03-15				Bot
Webapp	2026-03-15	4g Mini	Presales	Functionalities	Human
Inapp	2026-03-15				Bot
Inapp	2026-03-15				Bot
Inapp	2026-03-15	4g Mini	Connection		Human
Inapp	2026-03-15				Bot
Inapp	2026-03-15				Bot
Inapp	2026-03-15				Bot
Inapp	2026-03-15				Bot
Webapp	2026-03-15				Bot
Inapp	2026-03-15	PM	Subs Activation	Reactivation Query	Human
Webapp	2026-03-15	4g Mini	Subs Activation	Additional devices	Human
Webapp	2026-03-15				Bot
Webapp	2026-03-15				Bot
Inapp	2026-03-15				Bot
Inapp	2026-03-15				Bot
Webapp	2026-03-15				Bot
Inapp	2026-03-15	RV Mini Cam	Connection		Human
Webapp	2026-03-15	PM	Login Related		Human
Inapp	2026-03-15				Bot
Webapp	2026-03-15				Bot
Webapp	2026-03-15				Bot
Inapp	2026-03-15	Waggle Cam Pro	App Navigation	Treat Tossing	Human
Inapp	2026-03-15	PM	Temp Difference		Human
Webapp	2026-03-15	PM	Device Query	Functionalities	Human
Inapp	2026-03-16	4g Mini	Connection		Human
Inapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Inapp	2026-03-16	4g Mini	App Navigation	Delete Clips	Human
Inapp	2026-03-16	4g Mini	Subs Activation	Bundle	Human
Webapp	2026-03-16				Bot
Webapp	2026-03-16				Bot
Inapp	2026-03-16	4g Mini	App Navigation	Joystick Control	Human
Webapp	2026-03-16	PM	Presales	Functionalities	Human
Inapp	2026-03-16				Bot
Webapp	2026-03-16				Bot
Webapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Webapp	2026-03-16				Bot
Webapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Inapp	2026-03-16	PM	DNR		Human
Webapp	2026-03-16				Bot
Webapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Webapp	2026-03-16	4G Camera	Return and Refund		Human
Webapp	2026-03-16	PM	Presales	Subs Inquiry	Human
Inapp	2026-03-16				Bot
Webapp	2026-03-16				Bot
Inapp	2026-03-16	PM	Subs Activation	Subs Inquiry	Human
Inapp	2026-03-16				Bot
Inapp	2026-03-16	PM	Camping Search		Human
Webapp	2026-03-16				Bot
Webapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Inapp	2026-03-16	RV Mini Cam	Connection		Human
Webapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Webapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Webapp	2026-03-16				Bot
Inapp	2026-03-16				Bot
Webapp	2026-03-16	PM	Subs Activation	Combo plan	Human
Inapp	2026-03-16				Bot
Webapp	2026-03-16				Bot
